# BCs for ATLAS9 + DUSTY99 + blackbody spectra:
#  n     Teff  logg        C        M       T1       T2        B        V        R        I
 659  1409209  5.00  -13.630  -14.635  -14.896  -15.133  -14.366  -14.736  -14.905  -15.129
 660  1581159  5.00  -14.003  -15.009  -15.270  -15.508  -14.740  -15.110  -15.279  -15.503
 661  1774090  5.00  -14.377  -15.383  -15.644  -15.882  -15.114  -15.484  -15.653  -15.878
 662  1990563  5.00  -14.750  -15.757  -16.018  -16.256  -15.487  -15.858  -16.027  -16.252
 663  2233450  5.00  -15.124  -16.131  -16.393  -16.631  -15.862  -16.233  -16.402  -16.627
 664  2505973  5.00  -15.498  -16.505  -16.767  -17.005  -16.236  -16.607  -16.776  -17.001
 665  2811749  5.00  -15.872  -16.880  -17.141  -17.380  -16.610  -16.981  -17.151  -17.376
 666  3154836  5.00  -16.246  -17.254  -17.516  -17.754  -16.984  -17.356  -17.525  -17.750
 667  3539785  5.00  -16.621  -17.629  -17.891  -18.129  -17.359  -17.730  -17.900  -18.125
 668  3971706  5.00  -16.995  -18.003  -18.265  -18.504  -17.733  -18.105  -18.274  -18.500
 669  4456330  5.00  -17.370  -18.378  -18.640  -18.879  -18.107  -18.479  -18.649  -18.874
# BCs for Fluks et al. 1994 M-giant spectra:
#  n     Teff  logg        C        M       T1       T2        B        V        R        I
   0     3810  0.00   -3.657   -1.726   -0.418    0.426   -2.779   -1.256   -0.342    0.415
   1     3736  0.00   -3.893   -1.953   -0.607    0.402   -3.020   -1.480   -0.500    0.388
   2     3666  0.00   -4.155   -2.197   -0.827    0.363   -3.288   -1.722   -0.681    0.346
   3     3574  0.00   -4.456   -2.602   -1.160    0.241   -3.690   -2.104   -0.961    0.221
   4     3434  0.00   -5.025   -3.306   -1.762   -0.014   -4.356   -2.802   -1.473   -0.038
   5     3309  0.00   -5.769   -4.357   -2.616   -0.401   -5.339   -3.818   -2.217   -0.437
   6     3126  0.00   -6.951   -5.748   -3.848   -1.043   -6.712   -5.168   -3.221   -1.082
   7     2890  0.00   -7.951   -7.154   -4.580   -1.589   -8.061   -6.368   -3.883   -1.624
   8     2667  0.00   -8.753   -8.185   -5.024   -1.858   -9.000   -7.217   -4.257   -1.890
   9     2500  0.00   -9.504   -8.936   -5.527   -1.997   -9.747   -7.956   -4.612   -2.027
