# BCs for ATLAS9 + DUSTY99 + blackbody spectra:
#  n     Teff  logg        C        M       T1       T2        B        V        R        I
 231     5000  5.00   -1.478   -0.481    0.233    0.710   -1.111   -0.249    0.259    0.697
 232     5250  0.00   -1.423   -0.351    0.310    0.746   -0.987   -0.123    0.333    0.735
 233     5250  0.50   -1.361   -0.351    0.298    0.733   -0.966   -0.128    0.321    0.721
 234     5250  1.00   -1.305   -0.352    0.287    0.721   -0.951   -0.134    0.310    0.710
 235     5250  1.50   -1.260   -0.355    0.277    0.712   -0.941   -0.141    0.300    0.700
 236     5250  2.00   -1.227   -0.360    0.269    0.704   -0.936   -0.147    0.291    0.692
 237     5250  2.50   -1.204   -0.364    0.262    0.698   -0.935   -0.154    0.284    0.685
 238     5250  3.00   -1.191   -0.369    0.257    0.693   -0.937   -0.159    0.279    0.681
 239     5250  3.50   -1.187   -0.372    0.254    0.691   -0.940   -0.163    0.276    0.679
 240     5250  4.00   -1.193   -0.373    0.255    0.691   -0.943   -0.165    0.277    0.679
 241     5250  4.50   -1.207   -0.374    0.258    0.694   -0.947   -0.166    0.280    0.682
 242     5250  5.00   -1.228   -0.376    0.264    0.699   -0.952   -0.167    0.286    0.687
 243     5500  0.00   -1.117   -0.240    0.329    0.715   -0.767   -0.047    0.348    0.705
 244     5500  0.50   -1.078   -0.249    0.316    0.705   -0.763   -0.058    0.335    0.694
 245     5500  1.00   -1.041   -0.258    0.305    0.695   -0.762   -0.069    0.324    0.684
 246     5500  1.50   -1.011   -0.268    0.295    0.687   -0.764   -0.080    0.314    0.676
 247     5500  2.00   -0.989   -0.277    0.285    0.680   -0.770   -0.090    0.304    0.669
 248     5500  2.50   -0.974   -0.286    0.277    0.674   -0.778   -0.099    0.296    0.663
 249     5500  3.00   -0.967   -0.294    0.271    0.670   -0.788   -0.106    0.291    0.658
 250     5500  3.50   -0.966   -0.299    0.268    0.667   -0.797   -0.111    0.287    0.656
 251     5500  4.00   -0.973   -0.302    0.268    0.668   -0.806   -0.114    0.287    0.656
 252     5500  4.50   -0.987   -0.303    0.271    0.671   -0.813   -0.114    0.290    0.659
 253     5500  5.00   -1.008   -0.302    0.277    0.676   -0.820   -0.113    0.296    0.665
 254     5750  0.00   -0.866   -0.148    0.334    0.673   -0.580    0.012    0.349    0.664
 255     5750  0.50   -0.847   -0.164    0.323    0.666   -0.590   -0.003    0.339    0.657
 256     5750  1.00   -0.826   -0.180    0.312    0.659   -0.599   -0.017    0.328    0.649
 257     5750  1.50   -0.808   -0.195    0.301    0.653   -0.610   -0.031    0.317    0.643
 258     5750  2.00   -0.794   -0.209    0.291    0.647   -0.625   -0.044    0.308    0.636
 259     5750  2.50   -0.786   -0.223    0.282    0.641   -0.641   -0.056    0.299    0.631
 260     5750  3.00   -0.783   -0.234    0.275    0.637   -0.658   -0.067    0.292    0.626
 261     5750  3.50   -0.784   -0.244    0.270    0.635   -0.674   -0.075    0.287    0.624
 262     5750  4.00   -0.791   -0.249    0.268    0.635   -0.688   -0.079    0.285    0.624
 263     5750  4.50   -0.802   -0.251    0.270    0.637   -0.700   -0.081    0.287    0.626
 264     5750  5.00   -0.820   -0.251    0.276    0.643   -0.709   -0.079    0.293    0.632
 265     6000  0.00   -0.652   -0.075    0.326    0.622   -0.418    0.055    0.339    0.614
 266     6000  0.50   -0.658   -0.093    0.320    0.620   -0.441    0.041    0.333    0.612
 267     6000  1.00   -0.653   -0.112    0.311    0.617   -0.459    0.026    0.324    0.608
 268     6000  1.50   -0.645   -0.131    0.301    0.613   -0.479    0.010    0.315    0.604
 269     6000  2.00   -0.640   -0.151    0.291    0.608   -0.500   -0.006    0.305    0.599
 270     6000  2.50   -0.637   -0.169    0.281    0.603   -0.523   -0.022    0.295    0.594
 271     6000  3.00   -0.637   -0.185    0.271    0.599   -0.546   -0.036    0.286    0.589
 272     6000  3.50   -0.640   -0.199    0.264    0.596   -0.568   -0.048    0.279    0.586
 273     6000  4.00   -0.645   -0.209    0.261    0.595   -0.588   -0.055    0.275    0.585
 274     6000  4.50   -0.654   -0.215    0.261    0.597   -0.605   -0.059    0.275    0.587
